idx,AirQualityStation,no2,img_path,s5p_path,date_str,no2_norm,18.71056311
10,06-097-0004,19.29026364,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,11-2018,0.04410981819,
11,06-097-0004,12.64562381,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,12-2018,-0.4614854678,
12,06-097-0004,12.50521068,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,1-2019,-0.4721696014,
13,06-097-0004,9.82541963,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,2-2019,-0.676076774,
14,06-097-0004,8.271773836,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,3-2019,-0.7942947676,
15,06-097-0004,4.265754717,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,4-2019,-1.099115561,
16,06-097-0004,3.291150499,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,5-2019,-1.173273876,
17,06-097-0004,3.147551021,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,6-2019,-1.184200461,
18,06-097-0004,2.679356594,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,7-2019,-1.219825702,
19,06-097-0004,3.404742404,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,8-2019,-1.164630589,
20,06-097-0004,5.122740748,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,9-2019,-1.033906895,
21,06-097-0004,11.31903095,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,10-2019,-0.5624268454,
22,06-097-0004,12.73901887,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,11-2019,-0.4543789727,
23,06-097-0004,11.47295877,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,12-2019,-0.5507143698,
24,06-097-0004,12.25566499,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,1-2020,-0.4911577066,
25,06-097-0004,11.24650002,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,2-2020,-0.5679457744,
26,06-097-0004,6.854324142,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,3-2020,-0.902149505,
27,06-097-0004,4.341409803,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,4-2020,-1.093358912,
28,06-097-0004,3.648981027,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,5-2020,-1.146046302,
29,06-097-0004,2.911002841,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,6-2020,-1.202199577,
30,06-097-0004,2.477022564,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,7-2020,-1.23522144,
31,06-097-0004,4.00852284,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,8-2020,-1.118688514,
32,06-097-0004,5.690938287,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,9-2020,-0.9906723473,
33,06-097-0004,8.25236249,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,10-2020,-0.7957717905,
34,06-097-0004,10.90241623,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,11-2020,-0.5941273507,
35,06-097-0004,14.45940239,06-097-0004/S2B_MSIL2A_20210921T184959_N0301_R113_T10SEH_20210921T230912.npy,06-097-0004/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,12-2020,-0.3234737889,
36,06-037-1302,52.33279708,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,1-2018,2.558339268,
37,06-037-1302,43.23852501,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,2-2018,1.866349753,
38,06-037-1302,30.71522987,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,3-2018,0.9134434791,
39,06-037-1302,25.08479625,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,4-2018,0.4850198516,
40,06-037-1302,13.87954574,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,5-2018,-0.3675954863,
41,06-037-1302,13.40305323,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,6-2018,-0.4038521343,
42,06-037-1302,12.47473284,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,7-2018,-0.474488681,
43,06-037-1302,15.21492594,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,8-2018,-0.265985474,
44,06-037-1302,18.54168994,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,9-2018,-0.01284967752,
45,06-037-1302,29.70782313,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,10-2018,0.8367891964,
46,06-037-1302,50.28334151,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,11-2018,2.402394762,
47,06-037-1302,44.57066812,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,12-2018,1.967713454,
48,06-037-1302,41.90301813,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,1-2019,1.764730103,
49,06-037-1302,29.957744,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,2-2019,0.8558058501,
50,06-037-1302,27.53327389,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,3-2019,0.6713262256,
51,06-037-1302,18.98832919,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,4-2019,0.02113541463,
52,06-037-1302,13.35250478,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,5-2019,-0.407698401,
53,06-037-1302,12.08078775,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,6-2019,-0.504464238,
54,06-037-1302,15.37460525,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,7-2019,-0.253835364,
55,06-037-1302,16.87476344,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,8-2019,-0.1396872795,
56,06-037-1302,20.43716667,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,9-2019,0.1313784704,
57,06-037-1302,40.14997754,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,10-2019,1.631340019,
58,06-037-1302,41.49055553,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,11-2019,1.733345535,
59,06-037-1302,43.14372162,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,12-2019,1.859136098,
60,06-037-1302,43.06503653,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,1-2020,1.853148894,
61,06-037-1302,38.97077801,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,2-2020,1.541613904,
62,06-037-1302,21.40572021,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,3-2020,0.2050763859,
63,06-037-1302,15.99958308,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,4-2020,-0.2062803642,
64,06-037-1302,11.94861327,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,5-2020,-0.5145214871,
65,06-037-1302,10.95562129,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,6-2020,-0.5900789401,
66,06-037-1302,10.85843796,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,7-2020,-0.5974736879,
67,06-037-1302,15.91588624,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,8-2020,-0.2126489155,
68,06-037-1302,27.28712163,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,9-2020,0.6525963284,
69,06-037-1302,35.31840641,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,10-2020,1.263702397,
70,06-037-1302,43.11899179,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,11-2020,1.857254388,
71,06-037-1302,52.62379317,06-037-1302/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-1302/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,12-2020,2.580481363,
72,06-037-5005,,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,1-2018,-1.423699817,
73,06-037-5005,,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,2-2018,-1.423699817,
74,06-037-5005,,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,3-2018,-1.423699817,
75,06-037-5005,,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,4-2018,-1.423699817,
76,06-037-5005,,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,5-2018,-1.423699817,
77,06-037-5005,,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,6-2018,-1.423699817,
78,06-037-5005,,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,7-2018,-1.423699817,
79,06-037-5005,,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,8-2018,-1.423699817,
80,06-037-5005,,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,9-2018,-1.423699817,
81,06-037-5005,,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,10-2018,-1.423699817,
82,06-037-5005,,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,11-2018,-1.423699817,
83,06-037-5005,,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,12-2018,-1.423699817,
84,06-037-5005,34.43323485,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,1-2019,1.196349075,
85,06-037-5005,20.78015478,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,2-2019,0.1574766758,
86,06-037-5005,16.64650009,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,3-2019,-0.1570559975,
87,06-037-5005,10.80604316,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,4-2019,-0.6014604443,
88,06-037-5005,7.722583645,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,5-2019,-0.8360830329,
89,06-037-5005,5.728566048,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,6-2019,-0.9878092247,
90,06-037-5005,6.937875284,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,7-2019,-0.8957920402,
91,06-037-5005,9.359559839,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,8-2019,-0.7115243709,
92,06-037-5005,11.91070973,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,9-2019,-0.5174055935,
93,06-037-5005,26.57830102,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,10-2019,0.5986616732,
94,06-037-5005,28.6352722,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,11-2019,0.7551780469,
95,06-037-5005,34.97619231,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,12-2019,1.237663087,
96,06-037-5005,33.6739245,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,1-2020,1.13857262,
97,06-037-5005,27.23001724,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,2-2020,0.6482512155,
98,06-037-5005,13.57729335,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,3-2020,-0.3905940818,
99,06-037-5005,9.999978375,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,4-2020,-0.6627944771,
100,06-037-5005,7.844034738,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,5-2020,-0.8268417344,
101,06-037-5005,5.533925324,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,6-2020,-1.002619573,
102,06-037-5005,5.020054717,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,7-2020,-1.041720347,
103,06-037-5005,6.990972245,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,8-2020,-0.8917518553,
104,06-037-5005,14.81936119,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,9-2020,-0.296084272,
105,06-037-5005,21.8098837,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,10-2020,0.2358294683,
106,06-037-5005,30.16393448,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,11-2020,0.8714950275,
107,06-037-5005,38.22810503,06-037-5005/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-5005/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,12-2020,1.485103397,
108,06-037-1701,54.09629251,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,1-2018,2.692524867,
109,06-037-1701,46.26324761,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,2-2018,2.096503009,
110,06-037-1701,36.81501679,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,3-2018,1.377580527,
111,06-037-1701,31.31061654,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,4-2018,0.9587468665,
112,06-037-1701,23.31824196,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,5-2018,0.3506015022,
113,06-037-1701,25.29392896,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,6-2018,0.500932906,
114,06-037-1701,25.29617656,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,7-2018,0.5011039273,
115,06-037-1701,28.05175242,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,8-2018,0.710777619,
116,06-037-1701,34.30033881,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,9-2018,1.186236922,
117,06-037-1701,39.16009677,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,10-2018,1.5560193,
118,06-037-1701,48.79495519,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,11-2018,2.289142407,
119,06-037-1701,47.57319156,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,12-2018,2.196177559,
120,06-037-1701,42.75652725,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,1-2019,1.829674208,
121,06-037-1701,38.2345417,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,2-2019,1.485593168,
122,06-037-1701,32.11938458,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,3-2019,1.020286592,
123,06-037-1701,26.49338908,06-037-1701/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-037-1701/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,4-2019,0.592200664,
